Student ID,Study Hours per Week,Attendance Rate,Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
S00001,9.3,95.3,60.6,No,High School,No
S00002,17.6,76.8,62.4,Yes,Bachelor,No
S00003,8.8,89.3,72.7,No,Master,Yes
S00004,8.8,73.8,69.3,Yes,High School,No
S00005,17.9,38.6,93.6,No,Doctorate,No
S00006,13.8,95.8,59.2,Yes,Doctorate,No
S00007,7.7,100,91.9,No,Bachelor,Yes
S00008,7.7,54.1,72.3,No,Master,No
S00009,7.7,100,41.2,Yes,Master,No
S00010,1.4,66.5,49.2,No,Associate,No
S00011,7.2,54.4,55.9,Yes,High School,No
S00012,4.9,71.1,98,Yes,High School,Yes
S00013,11.6,94.5,51.8,No,Bachelor,No
S00014,5.5,74.7,40.8,No,Doctorate,No
S00015,2.9,87.2,72.4,No,Associate,Yes
S00016,17.3,100,68.6,No,Bachelor,No
S00017,8.9,63.4,98.2,No,Doctorate,No
S00018,10.3,81.1,64.4,No,High School,No
S00019,2.9,95.1,30.7,No,Bachelor,No
S00020,7.3,56.3,58.6,Yes,High School,No
S00021,11.9,68.2,56.6,Yes,High School,No
S00022,7,96.4,62.8,Yes,Associate,No
S00023,8.5,72.2,64.1,No,Doctorate,No
S00024,7,100,44.3,No,Doctorate,No
S00025,19.3,42.1,74.1,Yes,Associate,No
S00026,9.9,76.3,89.5,No,Associate,Yes
S00027,4.7,45.4,69.2,No,Doctorate,No
S00028,14.1,61,81.6,No,High School,No
S00029,3.9,60.9,67.7,Yes,Master,No
S00030,11,69.7,49.3,Yes,Master,No
S00031,0.2,51.2,69.1,No,Master,No
S00032,3.4,73.6,57.5,Yes,Master,No
S00033,11,84.2,48.4,No,Master,No
S00034,10.9,62.3,77.3,Yes,Bachelor,No
S00035,9.4,100,59.9,Yes,Associate,No
S00036,2.6,38.6,79.3,No,Doctorate,No
S00037,6.4,47,56.8,No,High School,No
S00038,7.7,79.5,56.3,No,Doctorate,No
S00039,15.3,77,97.2,Yes,High School,Yes
S00040,1.2,100,70.5,No,Master,Yes
S00041,11.6,100,71.3,Yes,High School,Yes
S00042,8.1,69.7,39.1,No,Doctorate,No
S00043,6.6,92.5,39.3,Yes,Doctorate,No
S00044,14.7,62.2,65.2,No,Bachelor,No
S00045,5.8,100,42.3,Yes,Doctorate,No
S00046,11.7,83.4,68.2,No,Master,No
S00047,14.9,75,34.1,No,High School,No
S00048,7.6,72.2,65.8,No,High School,No
S00049,9.1,80.6,66.6,No,Bachelor,No
S00050,4.5,51.3,58,Yes,Associate,No
S00051,4,35.6,48.5,Yes,Associate,No
S00052,14.1,70.7,59.4,Yes,High School,No
S00053,16.8,57.4,59.4,No,High School,No
S00054,9.6,86,93.9,No,Associate,Yes
S00055,11.8,75.3,58,No,Doctorate,No
S00056,6.8,100,63.2,No,Associate,No
S00057,17.7,45.8,70.8,Yes,Bachelor,No
S00058,9.8,70.5,71.7,Yes,Master,Yes
S00059,17.8,98.4,74,No,Doctorate,Yes
S00060,14.1,73.1,72.7,No,Doctorate,Yes
S00061,10.4,86.5,67.8,No,Doctorate,No
S00062,8.5,100,55.7,Yes,Bachelor,No
S00063,10.5,99.2,66.6,No,High School,No
S00064,0.1,77.7,63.4,No,Associate,No
S00065,8.9,85.4,64.7,No,Doctorate,No
S00066,11.8,37,67.6,No,Master,No
S00067,6,78.2,74.8,No,Bachelor,Yes
S00068,7.5,80.8,68.7,No,Doctorate,No
S00069,14.6,75.7,54.1,Yes,Master,No
S00070,11.6,74.9,52.1,Yes,Master,No
S00071,7.4,77.1,67.7,Yes,Bachelor,No
S00072,12.6,53.9,77,No,Doctorate,No
S00073,6.5,62.6,72.7,Yes,High School,No
S00074,8.4,98.9,26.9,No,Doctorate,No
S00075,11.5,77.3,54.8,No,Associate,No
S00076,11.3,67.3,100,Yes,Master,Yes
S00077,10,54.8,49.1,Yes,Associate,No
S00078,8.8,67,91.5,No,Associate,Yes
S00079,7.9,86.6,61.8,No,High School,No
S00080,6,88,52,No,High School,No
S00081,9.2,44.6,71.2,Yes,Doctorate,No
S00082,12,92.3,77.3,Yes,Doctorate,Yes
S00083,19.4,52.4,47.3,Yes,Associate,No
S00084,10.9,94.7,65.8,Yes,Master,No
S00085,9.6,37.6,58.2,Yes,Master,No
S00086,9.9,94.9,81.6,Yes,Bachelor,Yes
S00087,10.3,100,49.5,No,High School,No
S00088,22.3,59.6,45.5,Yes,Associate,No
S00089,9,78.6,81.5,Yes,Associate,Yes
S00090,11.5,88.9,68,No,High School,No
S00091,4.2,83.2,63.8,No,Doctorate,No
S00092,13.8,94.8,87.3,Yes,Doctorate,Yes
S00093,5.5,71.9,73,No,High School,Yes
S00094,17,59.3,64.7,Yes,Doctorate,No
S00095,12.9,100,68.1,No,Bachelor,No
S00096,21,94,82.4,Yes,Bachelor,Yes
S00097,7.2,71,56.7,No,Doctorate,No
S00098,10.5,39.6,65,Yes,Master,No
S00099,7.5,73.3,61.8,No,Master,No
S00100,2.2,51.2,56.4,Yes,High School,No
S00101,10.3,78.2,48.8,No,Bachelor,No
S00102,4.7,98.7,85.4,No,Master,Yes
S00103,12.4,55.4,34.1,No,Bachelor,No
S00104,5.4,79.8,85,No,High School,Yes
S00105,17.7,95,44.9,Yes,Doctorate,No
S00106,6.1,79.4,73.1,No,Associate,Yes
S00107,8.4,64.5,56.2,Yes,Bachelor,No
S00108,3.8,94.1,82.2,No,Doctorate,Yes
S00109,11.1,80.3,29,Yes,Associate,No
S00110,16.5,74.9,76.9,No,Associate,Yes
S00111,10.9,85.3,80.8,No,Bachelor,Yes
S00112,11.3,50.9,74.4,Yes,High School,No
S00113,13.9,87.6,74.2,Yes,Doctorate,Yes
S00114,3.8,94,78.5,No,Doctorate,Yes
S00115,11.5,54.2,60,No,High School,No
S00116,11.3,73,61.6,Yes,Master,No
S00117,11.7,95.2,66.6,No,Doctorate,No
S00118,11.2,86.1,97.8,No,Bachelor,Yes
S00119,11.5,17.2,63.7,Yes,Bachelor,No
S00120,6.4,78.6,47.8,No,Associate,No
S00121,19.3,66.9,63.2,Yes,Master,No
S00122,12.4,100,52.4,No,Master,No
S00123,4,37.2,94.4,Yes,Bachelor,No
S00124,5.1,37,74.5,No,Bachelor,No
S00125,13.9,64,72.7,No,Master,No
S00126,15.8,41,79.2,No,Doctorate,No
S00127,5.9,100,68.6,Yes,Doctorate,No
S00128,12.1,70.8,65.7,No,High School,No
S00129,14.1,74.1,46.6,No,Master,No
S00130,8.8,96.1,91.9,No,Bachelor,Yes
S00131,6.2,87.8,76,No,Doctorate,Yes
S00132,5.6,93.4,63.4,No,Bachelor,No
S00133,9.6,97.7,55.9,No,High School,No
S00134,11.7,95.4,70.1,No,Master,Yes
S00135,11.4,70.4,60.5,Yes,Bachelor,No
S00136,14.1,92.9,61.9,No,Doctorate,No
S00137,10.1,80.5,70.9,Yes,Associate,Yes
S00138,17.3,43.1,73.6,No,Doctorate,No
S00139,8.7,71.3,62,Yes,Bachelor,No
S00140,5.7,95.4,66.5,No,Associate,No
S00141,12.4,66.1,49.7,Yes,Associate,No
S00142,8.9,58.6,94.9,No,Associate,No
S00143,13.6,59.4,100,Yes,High School,No
S00144,9.6,76.4,55.8,No,Doctorate,No
S00145,2.4,82,60.4,Yes,Associate,No
S00146,11.1,100,64.5,No,Doctorate,No
S00147,3.8,77.7,63.7,Yes,Bachelor,No
S00148,10.9,95.4,61.7,No,Associate,No
S00149,11.9,94.3,79.2,No,High School,Yes
S00150,5.6,100,62.1,Yes,High School,No
S00151,10.8,86.2,95.8,No,Master,Yes
S00152,10.3,58.1,97.2,No,High School,No
S00153,11.8,80,59.6,No,Associate,No
S00154,12.8,91.3,64.3,Yes,Bachelor,No
S00155,15.4,57.5,55.4,Yes,Associate,No
S00156,15.3,100,77.8,Yes,High School,Yes
S00157,3.1,75.1,82.8,No,Master,Yes
S00158,5.3,91.8,84.3,Yes,Associate,Yes
S00159,12.6,81.2,61.9,No,Bachelor,No
S00160,12.6,77.5,61.7,No,Associate,No
S00161,12.6,79.7,35.1,No,Bachelor,No
S00162,12.9,100,51,No,Doctorate,No
S00163,15.7,34.7,48.4,No,Master,No
S00164,13.3,75.9,60.4,No,High School,No
S00165,8.4,71.5,64.6,Yes,Associate,No
S00166,13.8,27.7,85.4,No,Bachelor,No
S00167,7.6,58.3,71.4,No,Associate,No
S00168,10.4,75.8,53,Yes,Associate,No
S00169,21.6,69.1,67.2,Yes,Bachelor,No
S00170,13.4,76.8,57.7,Yes,Bachelor,No
S00171,1.9,86.6,50.2,Yes,Bachelor,No
S00172,7.6,64,65.8,Yes,Associate,No
S00173,15.4,80.2,84.8,No,Doctorate,Yes
S00174,4.6,95.9,55.8,No,Associate,No
S00175,6.4,72.9,67,Yes,Master,No
S00176,11.1,100,42.9,Yes,High School,No
S00177,10.2,66.3,69.9,Yes,High School,No
